Site,Region,Plot#,Species_Code,Latin_Name,Live_Total,Dead_Total
CE_B7_B,MA,459,PIRI,Pinus rigida,5,1
CE_B7_B,MA,459,QUCO,Quercus coccinea,7,1
CE_B7_B,MA,458,QUCO,Quercus coccinea,2,0
CE_B7_B,MA,458,PIRI,Pinus rigida,3,2
CE_B7_B,MA,457,QUCO,Quercus coccinea,7,0
CE_B7_B,MA,457,PIRI,Pinus rigida,1,0
CE_B7_B,MA,456,QUCO,Quercus coccinea,8,1
CE_B7_B,MA,455,PIRI,Pinus rigida,6,0
CE_B7_B,MA,455,QUCO,Quercus coccinea,3,0
CE_B7_B,MA,454,PIRI,Pinus rigida,8,0
CE_B7_B,MA,454,QUCO,Quercus coccinea,1,0
